data,denominazione_regione,nuovi_positivi,totale_positivi,tamponi_settimanali,tamponi_positivi_settimanali,tamponi_test_antigenico_rapido,totale_positivi_test_antigenico_rapido
2024-11-13,Abruzzo,38,2945,951.0,30.0,5098586.0,428420.0
2024-11-13,Basilicata,5,10310,382.0,5.0,684632.0,131795.0
2024-11-13,Calabria,20,1854,657.0,19.0,2616300.0,454643.0
2024-11-13,Campania,135,9746,10777.0,122.0,12565311.0,1614559.0
2024-11-13,Emilia-Romagna,61,14506,2638.0,53.0,9408597.0,1123732.0
2024-11-13,Friuli-Venezia Giulia,92,477,692.0,70.0,4020902.0,359839.0
2024-11-13,Lazio,363,87060,8180.0,352.0,18157162.0,1516174.0
2024-11-13,Liguria,104,60,1891.0,99.0,4507360.0,408369.0
2024-11-13,Lombardia,712,3034,10694.0,588.0,30462971.0,2830245.0
2024-11-13,Marche,16,23,95.0,16.0,1790381.0,514023.0
2024-11-13,Molise,8,47,195.0,5.0,304673.0,74757.0
2024-11-13,Piemonte,227,60022,4734.0,215.0,17700982.0,1299532.0
2024-11-13,Puglia,128,831,3195.0,126.0,9932733.0,1188599.0
2024-11-13,Sardegna,27,13665,826.0,27.0,3378958.0,350558.0
2024-11-13,Sicilia,17,1499,54.0,12.0,11471304.0,1293135.0
2024-11-13,Toscana,262,889,7074.0,86.0,10388512.0,930150.0
2024-11-13,Trentino-Alto Adige,63,52,374.0,33.0,2227002.0,209426.0
2024-11-13,Umbria,3,666,545.0,0.0,3444894.0,301464.0
2024-11-13,Valle d'Aosta,1,2,169.0,1.0,466165.0,36276.0
2024-11-13,Veneto,349,10466,4577.0,132.0,27389847.0,1699981.0
2024-11-06,Abruzzo,57,2944,926.0,49.0,5097635.0,428390.0
2024-11-06,Basilicata,2,10309,300.0,2.0,684250.0,131790.0
2024-11-06,Calabria,40,1857,533.0,39.0,2615643.0,454624.0
2024-11-06,Campania,157,9912,9282.0,149.0,12554534.0,1614437.0
2024-11-06,Emilia-Romagna,264,14445,2790.0,229.0,9405959.0,1123679.0
2024-11-06,Friuli-Venezia Giulia,114,516,858.0,83.0,4020210.0,359769.0
2024-11-06,Lazio,386,86735,7692.0,364.0,18148982.0,1515822.0
2024-11-06,Liguria,137,85,1691.0,137.0,4505469.0,408270.0
2024-11-06,Lombardia,1019,4897,11299.0,857.0,30452277.0,2829657.0
2024-11-06,Marche,14,28,176.0,14.0,1790286.0,514007.0
2024-11-06,Molise,6,87,117.0,1.0,304478.0,74752.0
2024-11-06,Piemonte,395,60058,5258.0,379.0,17696248.0,1299317.0
2024-11-06,Puglia,129,773,2728.0,119.0,9929538.0,1188473.0
2024-11-06,Sardegna,27,13643,886.0,27.0,3378132.0,350531.0
2024-11-06,Sicilia,12,1529,55.0,9.0,11471250.0,1293123.0
2024-11-06,Toscana,279,1137,6511.0,104.0,10381438.0,930064.0
2024-11-06,Trentino-Alto Adige,71,70,434.0,31.0,2226628.0,209393.0
2024-11-06,Umbria,2,663,972.0,0.0,3444349.0,301464.0
2024-11-06,Valle d'Aosta,5,5,151.0,5.0,465996.0,36275.0
2024-11-06,Veneto,795,10564,5938.0,61.0,27385270.0,1699849.0
2024-10-30,Abruzzo,78,2926,1251.0,53.0,5096709.0,428341.0
2024-10-30,Basilicata,4,10312,387.0,4.0,683950.0,131788.0
2024-10-30,Calabria,53,1858,758.0,50.0,2615110.0,454585.0
2024-10-30,Campania,257,9998,11451.0,245.0,12545252.0,1614288.0
2024-10-30,Emilia-Romagna,457,14187,3251.0,418.0,9403169.0,1123450.0
2024-10-30,Friuli-Venezia Giulia,196,576,1062.0,143.0,4019352.0,359686.0
2024-10-30,Lazio,598,86370,9092.0,543.0,18141290.0,1515458.0
2024-10-30,Liguria,180,85,1986.0,180.0,4503778.0,408133.0
2024-10-30,Lombardia,1705,5609,14589.0,1485.0,30440978.0,2828800.0
2024-10-30,Marche,14,30,92.0,14.0,1790110.0,513993.0
2024-10-30,Molise,22,83,187.0,15.0,304361.0,74751.0
2024-10-30,Piemonte,623,60009,6732.0,603.0,17690990.0,1298938.0
2024-10-30,Puglia,220,935,3731.0,212.0,9926810.0,1188354.0
2024-10-30,Sardegna,45,13623,703.0,45.0,3377246.0,350504.0
2024-10-30,Sicilia,16,1523,58.0,14.0,11471195.0,1293114.0
2024-10-30,Toscana,453,1431,7708.0,196.0,10374927.0,929960.0
2024-10-30,Trentino-Alto Adige,124,113,550.0,66.0,2226194.0,209362.0
2024-10-30,Umbria,9,661,1263.0,0.0,3443377.0,301464.0
2024-10-30,Valle d'Aosta,8,17,179.0,8.0,465845.0,36270.0
2024-10-30,Veneto,737,11184,6390.0,298.0,27379332.0,1699788.0
2024-10-23,Abruzzo,127,2915,1464.0,96.0,5095458.0,428288.0
2024-10-23,Basilicata,10,10310,388.0,10.0,683563.0,131784.0
2024-10-23,Calabria,61,1857,769.0,60.0,2614352.0,454535.0
2024-10-23,Campania,354,10005,11959.0,332.0,12533801.0,1614043.0
2024-10-23,Emilia-Romagna,664,13736,3760.0,597.0,9399918.0,1123032.0
2024-10-23,Friuli-Venezia Giulia,245,652,1229.0,185.0,4018290.0,359543.0
2024-10-23,Lazio,928,85832,11816.0,904.0,18132198.0,1514915.0
2024-10-23,Liguria,228,94,2123.0,229.0,4501792.0,407953.0
2024-10-23,Lombardia,2693,6174,16056.0,2334.0,30426389.0,2827315.0
2024-10-23,Marche,16,43,138.0,16.0,1790018.0,513979.0
2024-10-23,Molise,15,61,299.0,10.0,304174.0,74736.0
2024-10-23,Piemonte,998,59898,8026.0,973.0,17684258.0,1298335.0
2024-10-23,Puglia,280,1404,3917.0,271.0,9923079.0,1188142.0
2024-10-23,Sardegna,52,13582,932.0,52.0,3376543.0,350459.0
2024-10-23,Sicilia,10,1520,69.0,9.0,11471137.0,1293100.0
2024-10-23,Toscana,590,1574,8511.0,355.0,10367219.0,929764.0
2024-10-23,Trentino-Alto Adige,167,157,585.0,91.0,2225644.0,209296.0
2024-10-23,Umbria,3,755,1341.0,0.0,3442114.0,301464.0
2024-10-23,Valle d'Aosta,13,14,216.0,13.0,465666.0,36262.0
2024-10-23,Veneto,1206,11257,7569.0,621.0,27372942.0,1699490.0
2024-10-16,Abruzzo,197,2920,1786.0,140.0,5093994.0,428192.0
2024-10-16,Basilicata,12,10300,461.0,12.0,683175.0,131774.0
2024-10-16,Calabria,85,1874,847.0,81.0,2613583.0,454475.0
2024-10-16,Campania,518,10259,12209.0,500.0,12521842.0,1613711.0
2024-10-16,Emilia-Romagna,828,13079,4260.0,763.0,9396158.0,1122435.0
2024-10-16,Friuli-Venezia Giulia,304,670,1265.0,237.0,4017061.0,359358.0
2024-10-16,Lazio,1046,84953,10854.0,974.0,18120382.0,1514011.0
2024-10-16,Liguria,254,98,2254.0,245.0,4499669.0,407724.0
2024-10-16,Lombardia,3498,5797,18144.0,3084.0,30410333.0,2824981.0
2024-10-16,Marche,21,54,193.0,21.0,1789880.0,513963.0
2024-10-16,Molise,7,137,114.0,2.0,303875.0,74726.0
2024-10-16,Piemonte,1458,59625,9258.0,1427.0,17676232.0,1297362.0
2024-10-16,Puglia,370,1300,4005.0,357.0,9919162.0,1187871.0
2024-10-16,Sardegna,76,13538,1012.0,76.0,3375611.0,350407.0
2024-10-16,Sicilia,23,1528,94.0,17.0,11471068.0,1293091.0
2024-10-16,Toscana,867,1565,8509.0,485.0,10358708.0,929409.0
2024-10-16,Trentino-Alto Adige,204,183,601.0,106.0,2225059.0,209205.0
2024-10-16,Umbria,117,903,1405.0,102.0,3440773.0,301464.0
2024-10-16,Valle d'Aosta,22,28,198.0,22.0,465450.0,36249.0
2024-10-16,Veneto,1526,11224,7977.0,619.0,27365373.0,1698869.0
2024-10-09,Abruzzo,215,2873,1907.0,158.0,5092208.0,428052.0
2024-10-09,Basilicata,22,10289,478.0,22.0,682714.0,131762.0
2024-10-09,Calabria,100,1884,853.0,90.0,2612736.0,454394.0
2024-10-09,Campania,607,10321,12612.0,575.0,12509633.0,1613211.0
2024-10-09,Emilia-Romagna,802,12254,3969.0,721.0,9391898.0,1121672.0
2024-10-09,Friuli-Venezia Giulia,342,694,1227.0,276.0,4015796.0,359121.0
2024-10-09,Lazio,1114,83987,9808.0,1061.0,18109528.0,1513037.0
2024-10-09,Liguria,248,91,2122.0,252.0,4497415.0,407479.0
2024-10-09,Lombardia,3767,5377,17765.0,3381.0,30392189.0,2821897.0
2024-10-09,Marche,15,41,158.0,15.0,1789687.0,513942.0
2024-10-09,Molise,35,131,239.0,21.0,303761.0,74724.0
2024-10-09,Piemonte,1342,58879,8422.0,1301.0,17666974.0,1295935.0
2024-10-09,Puglia,377,1423,4333.0,356.0,9915157.0,1187514.0
2024-10-09,Sardegna,77,13481,1047.0,77.0,3374599.0,350331.0
2024-10-09,Sicilia,29,1524,93.0,24.0,11470974.0,1293074.0
2024-10-09,Toscana,616,1371,6838.0,383.0,10350199.0,928924.0
2024-10-09,Trentino-Alto Adige,239,224,631.0,127.0,2224458.0,209099.0
2024-10-09,Umbria,207,1077,1506.0,197.0,3439368.0,301362.0
2024-10-09,Valle d'Aosta,26,33,212.0,26.0,465252.0,36227.0
2024-10-09,Veneto,1707,11246,7891.0,442.0,27357396.0,1698250.0
2024-10-02,Abruzzo,293,2825,2172.0,195.0,5090301.0,427894.0
2024-10-02,Basilicata,40,10274,481.0,40.0,682236.0,131740.0
2024-10-02,Calabria,111,1881,908.0,107.0,2611883.0,454304.0
2024-10-02,Campania,787,10331,13108.0,770.0,12497021.0,1612636.0
2024-10-02,Emilia-Romagna,782,11459,4113.0,729.0,9387929.0,1120951.0
2024-10-02,Friuli-Venezia Giulia,381,705,1264.0,297.0,4014569.0,358845.0
2024-10-02,Lazio,1416,82930,13023.0,1379.0,18099720.0,1511976.0
2024-10-02,Liguria,220,77,2029.0,218.0,4495293.0,407227.0
2024-10-02,Lombardia,3884,5880,17074.0,3538.0,30374424.0,2818516.0
2024-10-02,Marche,14,50,117.0,14.0,1789529.0,513927.0
2024-10-02,Molise,40,93,252.0,15.0,303522.0,74703.0
2024-10-02,Piemonte,1198,58142,7885.0,1172.0,17658552.0,1294634.0
2024-10-02,Puglia,449,2539,4637.0,433.0,9910824.0,1187158.0
2024-10-02,Sardegna,84,13414,1145.0,84.0,3373552.0,350254.0
2024-10-02,Sicilia,30,1528,91.0,26.0,11470881.0,1293050.0
2024-10-02,Toscana,654,1321,6600.0,454.0,10343361.0,928541.0
2024-10-02,Trentino-Alto Adige,245,224,673.0,139.0,2223827.0,208972.0
2024-10-02,Umbria,298,1130,1759.0,278.0,3437862.0,301165.0
2024-10-02,Valle d'Aosta,23,22,206.0,23.0,465040.0,36201.0
2024-10-02,Veneto,2124,11483,8780.0,2733.0,27349505.0,1697808.0
2024-09-25,Abruzzo,244,2730,1783.0,147.0,5088129.0,427699.0
2024-09-25,Basilicata,27,10237,477.0,27.0,681755.0,131700.0
2024-09-25,Calabria,96,1886,828.0,93.0,2610975.0,454197.0
2024-09-25,Campania,895,10038,12391.0,878.0,12483913.0,1611866.0
2024-09-25,Emilia-Romagna,681,10685,3284.0,621.0,9383816.0,1120222.0
2024-09-25,Friuli-Venezia Giulia,334,656,1097.0,265.0,4013305.0,358548.0
2024-09-25,Lazio,1302,81614,10965.0,1272.0,18086697.0,1510597.0
2024-09-25,Liguria,199,74,1955.0,197.0,4493264.0,407009.0
2024-09-25,Lombardia,3102,4854,14802.0,2856.0,30357350.0,2814978.0
2024-09-25,Marche,14,40,190.0,14.0,1789412.0,513913.0
2024-09-25,Molise,41,144,232.0,22.0,303270.0,74688.0
2024-09-25,Piemonte,830,57371,6765.0,809.0,17650667.0,1293462.0
2024-09-25,Puglia,438,3693,4478.0,426.0,9906187.0,1186725.0
2024-09-25,Sardegna,86,13344,1065.0,86.0,3372407.0,350170.0
2024-09-25,Sicilia,59,1527,118.0,42.0,11470790.0,1293024.0
2024-09-25,Toscana,625,1306,6409.0,442.0,10336761.0,928087.0
2024-09-25,Trentino-Alto Adige,216,181,527.0,131.0,2223154.0,208833.0
2024-09-25,Umbria,277,1019,1527.0,261.0,3436103.0,300887.0
